neighbor_region,pop_2000,pop_2010
Região Urbana Homogênea I,691,869
Região Urbana Homogênea II,421,760
Região Urbana Homogênea III,7809,9041
Região Urbana Homogênea IV,8265,8604
Região Urbana Homogênea V,3436,3115
Região Urbana Homogênea VI,1894,2050
Região Urbana Homogênea VII,945,881
Região Urbana Homogênea VIII,6177,7009
Região Urbana Homogênea IX,4309,3993
Região Urbana Homogênea X,8860,9709
Região Urbana Homogênea XI,4063,4594
Região Urbana Homogênea XII,11431,16456
Região Urbana Homogênea XIII,10436,11415
Região Urbana Homogênea XIV,3779,3373
Região Urbana Homogênea XV,7539,7647
Região Urbana Homogênea XVI,1429,1408
Região Urbana Homogênea XVII,6804,6546
Região Urbana Homogênea XVIII,11985,11433
Região Urbana Homogênea XIX,8182,7833
Região Urbana Homogênea XX,527,2534
Região Urbana Homogênea XXI,969,1448
Região Urbana Homogênea XXII,12431,13339
Região Urbana Homogênea XXIII,918,1468
Região Urbana Homogênea XXIV,3392,5134
Região Urbana Homogênea XXV,461,747
Região Urbana Homogênea XXVI,62,34
Região Urbana Homogênea XXVII,615,668
